Header	GO
SL1344_RS05200	GO:0000910;GO:0000917;GO:0008150;GO:0009987;GO:0016043;GO:0022402;GO:0022414;GO:0022607;GO:0032506;GO:0043093;GO:0071840;GO:0090529
SL1344_RS05215	GO:0006139;GO:0006259;GO:0006281;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0008150;GO:0008152;GO:0009987;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0050896;GO:0051716;GO:0071704;GO:0090304;GO:1901360
SL1344_RS05235	GO:0006417;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0010608;GO:0019222;GO:0031323;GO:0031326;GO:0034248;GO:0050789;GO:0050794;GO:0051171;GO:0051246;GO:0060255;GO:0065007;GO:0080090
SL1344_RS05240	GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0008150;GO:0008152;GO:0008610;GO:0009058;GO:0009987;GO:0016053;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:0072330;GO:1901576
SL1344_RS05245	GO:0006508;GO:0006807;GO:0008150;GO:0008152;GO:0009056;GO:0009057;GO:0019538;GO:0043170;GO:0044238;GO:0071704;GO:1901564;GO:1901565;GO:1901575
SL1344_RS05250	GO:0006355;GO:0007049;GO:0008150;GO:0009889;GO:0009987;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0051301;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS05255	GO:0006810;GO:0006811;GO:0008150;GO:0009987;GO:0034220;GO:0051179;GO:0051234;GO:0055085
SL1344_RS05260	GO:0000917;GO:0006950;GO:0006974;GO:0007154;GO:0008150;GO:0009432;GO:0009605;GO:0009987;GO:0009991;GO:0016043;GO:0022402;GO:0022607;GO:0031668;GO:0032506;GO:0033554;GO:0048519;GO:0048523;GO:0050789;GO:0050794;GO:0050896;GO:0051716;GO:0065007;GO:0071496;GO:0071840;GO:0090529
SL1344_RS05285	GO:0006081;GO:0008150;GO:0008152;GO:0009058;GO:0009987;GO:0042180;GO:0042181;GO:0044237;GO:0044249;GO:0044281;GO:0044283;GO:0071704;GO:1901576
SL1344_RS05300	GO:0006950;GO:0008150;GO:0009628;GO:0050896
SL1344_RS05330	GO:0006508;GO:0006807;GO:0008150;GO:0008152;GO:0019538;GO:0043170;GO:0044238;GO:0048519;GO:0048523;GO:0050789;GO:0050794;GO:0065007;GO:0071704;GO:1901564
SL1344_RS05340	GO:0006508;GO:0006807;GO:0008150;GO:0008152;GO:0019538;GO:0043170;GO:0044238;GO:0071704;GO:1901564
SL1344_RS05375	GO:0006508;GO:0006807;GO:0008150;GO:0008152;GO:0019538;GO:0043170;GO:0044238;GO:0071704;GO:1901564
SL1344_RS05390	GO:0006139;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009112;GO:0009987;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0055086;GO:0071704;GO:0072521;GO:1901360;GO:1901564
SL1344_RS05395	GO:0006725;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0019439;GO:0044237;GO:0044248;GO:0071704;GO:1901360
SL1344_RS05400	GO:0006082;GO:0006725;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0016054;GO:0019439;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044248;GO:0044281;GO:0044282;GO:0046395;GO:0071704;GO:0072329;GO:1901360;GO:1901361;GO:1901575
SL1344_RS05405	GO:0006355;GO:0008150;GO:0009889;GO:0009890;GO:0009892;GO:0010468;GO:0010556;GO:0010558;GO:0010605;GO:0019219;GO:0019222;GO:0031323;GO:0031324;GO:0031326;GO:0031327;GO:0045892;GO:0045934;GO:0048519;GO:0048523;GO:0050789;GO:0050794;GO:0051171;GO:0051172;GO:0051252;GO:0051253;GO:0060255;GO:0065007;GO:0080090;GO:1902679;GO:2001141
SL1344_RS05410	GO:0006082;GO:0006725;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0016054;GO:0019439;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044248;GO:0044281;GO:0044282;GO:0046395;GO:0071704;GO:0072329;GO:1901360;GO:1901361;GO:1901575;GO:1901615;GO:1901616
SL1344_RS05415	GO:0006082;GO:0006725;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0016054;GO:0019439;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044248;GO:0044281;GO:0044282;GO:0046395;GO:0071704;GO:0072329;GO:1901360;GO:1901361;GO:1901575;GO:1901615;GO:1901616
SL1344_RS05420	GO:0006725;GO:0008150;GO:0008152;GO:0009987;GO:0044237
SL1344_RS05425	GO:0006725;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0019439;GO:0044237;GO:0044248
SL1344_RS05430	GO:0006725;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0019439;GO:0044237;GO:0044248
SL1344_RS05435	GO:0006082;GO:0006725;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0016054;GO:0019439;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044248;GO:0044281;GO:0044282;GO:0046395;GO:0071704;GO:0072329;GO:1901360;GO:1901361;GO:1901575
SL1344_RS05440	GO:0006810;GO:0008150;GO:0015711;GO:0015849;GO:0046942;GO:0051179;GO:0051234;GO:0071702
SL1344_RS05455	GO:0006950;GO:0007154;GO:0008150;GO:0009605;GO:0009987;GO:0009991;GO:0031668;GO:0033554;GO:0050896;GO:0051716;GO:0071496
SL1344_RS05465	GO:0006457;GO:0008150;GO:0009987
SL1344_RS05475	GO:0008150;GO:0009987;GO:0016043;GO:0017004;GO:0022607;GO:0043933;GO:0065003;GO:0071840
SL1344_RS05510	GO:0006355;GO:0008150;GO:0009889;GO:0009890;GO:0009892;GO:0010468;GO:0010556;GO:0010558;GO:0010605;GO:0019219;GO:0019222;GO:0031323;GO:0031324;GO:0031326;GO:0031327;GO:0045892;GO:0045934;GO:0048519;GO:0048523;GO:0050789;GO:0050794;GO:0051171;GO:0051172;GO:0051252;GO:0051253;GO:0060255;GO:0065007;GO:0080090;GO:1902679;GO:2001141
SL1344_RS05525	GO:0006810;GO:0006865;GO:0008150;GO:0015711;GO:0015849;GO:0046942;GO:0051179;GO:0051234;GO:0071702;GO:0071705
SL1344_RS05540	GO:0008150;GO:0008152;GO:0071704;GO:1901135
SL1344_RS05545	GO:0006810;GO:0006811;GO:0006812;GO:0006814;GO:0008150;GO:0030001;GO:0051179;GO:0051234
SL1344_RS05550	GO:0005975;GO:0006040;GO:0006082;GO:0006807;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0016054;GO:0019752;GO:0043436;GO:0043603;GO:0044237;GO:0044238;GO:0044248;GO:0044281;GO:0044282;GO:0046395;GO:0071704;GO:1901135;GO:1901136;GO:1901564;GO:1901565;GO:1901575
SL1344_RS05555	GO:0005975;GO:0008150;GO:0008152;GO:0044238;GO:0071704
SL1344_RS05625	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS05630	GO:0007155;GO:0008150;GO:0009987
SL1344_RS05635	GO:0007155;GO:0008150;GO:0009987
SL1344_RS05650	GO:0006139;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009116;GO:0009892;GO:0009987;GO:0010605;GO:0019219;GO:0019222;GO:0031323;GO:0031324;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0045934;GO:0046483;GO:0048519;GO:0048523;GO:0050789;GO:0050794;GO:0051171;GO:0051172;GO:0051252;GO:0051253;GO:0055086;GO:0060255;GO:0065007;GO:0065009;GO:0071704;GO:0072521;GO:0080090;GO:1901135;GO:1901360;GO:1901564;GO:1901657
SL1344_RS05655	GO:0006629;GO:0006644;GO:0006650;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0008610;GO:0008654;GO:0009058;GO:0009987;GO:0019637;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0045017;GO:0046474;GO:0046486;GO:0071704;GO:0090407;GO:1901576
SL1344_RS05660	GO:0000271;GO:0005975;GO:0005976;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009250;GO:0016051;GO:0043170;GO:0044042;GO:0044238;GO:0071704;GO:1901576
SL1344_RS05665	GO:0000271;GO:0005975;GO:0005976;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009250;GO:0016051;GO:0043170;GO:0044042;GO:0044238;GO:0071704;GO:1901576
SL1344_RS05670	GO:0000271;GO:0005975;GO:0005976;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009250;GO:0016051;GO:0043170;GO:0044042;GO:0044238;GO:0071704;GO:1901576
SL1344_RS05690	GO:0000271;GO:0005975;GO:0005976;GO:0006082;GO:0006629;GO:0006643;GO:0006644;GO:0006664;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0008610;GO:0008653;GO:0008654;GO:0009058;GO:0009059;GO:0009103;GO:0009245;GO:0009247;GO:0009987;GO:0016051;GO:0016053;GO:0019637;GO:0019752;GO:0043170;GO:0043436;GO:0043648;GO:0043650;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0046467;GO:0046493;GO:0071704;GO:0090407;GO:1901135;GO:1901137;GO:1901269;GO:1901271;GO:1901576;GO:1903509
SL1344_RS05695	GO:0006139;GO:0006396;GO:0006399;GO:0006400;GO:0006725;GO:0006807;GO:0008033;GO:0008150;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS05705	GO:0006091;GO:0008150;GO:0008152;GO:0009987;GO:0022900;GO:0022904;GO:0044237
SL1344_RS05730	GO:0006139;GO:0006206;GO:0006220;GO:0006221;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009112;GO:0009117;GO:0009123;GO:0009124;GO:0009129;GO:0009130;GO:0009156;GO:0009161;GO:0009165;GO:0009218;GO:0009220;GO:0009259;GO:0009260;GO:0009987;GO:0018130;GO:0019438;GO:0019637;GO:0019693;GO:0034641;GO:0034654;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0046112;GO:0046390;GO:0046483;GO:0055086;GO:0071704;GO:0072527;GO:0072528;GO:0090407;GO:1901135;GO:1901137;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05765	GO:0000270;GO:0006022;GO:0006023;GO:0006024;GO:0006807;GO:0008150;GO:0008152;GO:0008360;GO:0009058;GO:0009059;GO:0009252;GO:0009987;GO:0016043;GO:0022603;GO:0022604;GO:0030203;GO:0043170;GO:0044038;GO:0045229;GO:0050789;GO:0050793;GO:0065007;GO:0065008;GO:0071554;GO:0071555;GO:0071704;GO:0071840;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05770	GO:0006996;GO:0008150;GO:0008283;GO:0009987;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0044780;GO:0044781;GO:0070925;GO:0071840;GO:0140694
SL1344_RS05775	GO:0006355;GO:0006996;GO:0008150;GO:0008283;GO:0009889;GO:0009890;GO:0009892;GO:0009987;GO:0010468;GO:0010556;GO:0010558;GO:0010605;GO:0016043;GO:0019219;GO:0019222;GO:0030030;GO:0031323;GO:0031324;GO:0031326;GO:0031327;GO:0044781;GO:0045892;GO:0045934;GO:0048519;GO:0048523;GO:0050789;GO:0050794;GO:0051171;GO:0051172;GO:0051252;GO:0051253;GO:0060255;GO:0065007;GO:0071840;GO:0080090;GO:1902679;GO:2001141
SL1344_RS05780	GO:0006996;GO:0008150;GO:0008283;GO:0009987;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0044780;GO:0044781;GO:0070925;GO:0071840;GO:0140694
SL1344_RS05785	GO:0001539;GO:0008150;GO:0009987;GO:0048870;GO:0071973;GO:0097588
SL1344_RS05790	GO:0001539;GO:0008150;GO:0009987;GO:0048870;GO:0071973;GO:0097588
SL1344_RS05795	GO:0006996;GO:0008150;GO:0008283;GO:0009987;GO:0016043;GO:0030030;GO:0044781;GO:0071840
SL1344_RS05810	GO:0001539;GO:0008150;GO:0009987;GO:0048870;GO:0071973;GO:0097588
SL1344_RS05815	GO:0001539;GO:0008150;GO:0009987;GO:0048870;GO:0071973;GO:0097588
SL1344_RS05820	GO:0001539;GO:0008150;GO:0009987;GO:0048870;GO:0071973;GO:0097588
SL1344_RS05825	GO:0006996;GO:0008150;GO:0008152;GO:0008283;GO:0009987;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0044780;GO:0044781;GO:0070925;GO:0071840;GO:0140694
SL1344_RS05830	GO:0006996;GO:0008150;GO:0008283;GO:0009987;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0044780;GO:0044781;GO:0070925;GO:0071840;GO:0140694
SL1344_RS05835	GO:0001539;GO:0008150;GO:0009987;GO:0048870;GO:0071973;GO:0097588
SL1344_RS05840	GO:0006139;GO:0006364;GO:0006396;GO:0006399;GO:0006725;GO:0006807;GO:0008033;GO:0008150;GO:0008152;GO:0009056;GO:0009057;GO:0009889;GO:0009890;GO:0009892;GO:0009987;GO:0010468;GO:0010556;GO:0010558;GO:0010605;GO:0016070;GO:0016072;GO:0019222;GO:0019439;GO:0034470;GO:0034641;GO:0034655;GO:0034660;GO:0043170;GO:0044237;GO:0044238;GO:0044248;GO:0044270;GO:0046483;GO:0046700;GO:0048519;GO:0050789;GO:0060255;GO:0065007;GO:0071704;GO:0090304;GO:1901360;GO:1901361;GO:1901575
SL1344_RS05850	GO:0001522;GO:0006139;GO:0006364;GO:0006396;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0016072;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS05865	GO:0006139;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009117;GO:0009987;GO:0019637;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0055086;GO:0071704;GO:1901360
SL1344_RS05875	GO:0006412;GO:0006518;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0019538;GO:0034641;GO:0043043;GO:0043170;GO:0043603;GO:0043604;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0071704;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05880	GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0006644;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0008610;GO:0008654;GO:0009058;GO:0009987;GO:0016053;GO:0019637;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:0072330;GO:0090407;GO:1901576
SL1344_RS05885	GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0008150;GO:0008152;GO:0008610;GO:0009058;GO:0009987;GO:0016053;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:0072330;GO:1901576
SL1344_RS05890	GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0008150;GO:0008152;GO:0008610;GO:0009058;GO:0009987;GO:0016053;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:0072330;GO:1901576
SL1344_RS05895	GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0008150;GO:0008152;GO:0008610;GO:0009058;GO:0009987;GO:0016053;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:0072330;GO:1901576
SL1344_RS05900	GO:0006082;GO:0006629;GO:0006643;GO:0006644;GO:0006664;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0008610;GO:0008654;GO:0009058;GO:0009247;GO:0009987;GO:0016053;GO:0019637;GO:0019752;GO:0043436;GO:0043648;GO:0043650;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0046467;GO:0071704;GO:0090407;GO:1901135;GO:1901137;GO:1901269;GO:1901271;GO:1901576;GO:1903509
SL1344_RS05905	GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0008150;GO:0008152;GO:0008610;GO:0009058;GO:0009987;GO:0016053;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:0072330;GO:1901576
SL1344_RS05910	GO:0006082;GO:0006575;GO:0006725;GO:0006760;GO:0006766;GO:0006767;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009110;GO:0009987;GO:0016053;GO:0018130;GO:0019438;GO:0019752;GO:0034641;GO:0042364;GO:0042398;GO:0042558;GO:0043436;GO:0043603;GO:0043604;GO:0043648;GO:0043650;GO:0044237;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046394;GO:0046483;GO:0071704;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05915	GO:0000270;GO:0006022;GO:0006023;GO:0006024;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009252;GO:0009987;GO:0016043;GO:0030203;GO:0043170;GO:0044038;GO:0045229;GO:0051301;GO:0071554;GO:0071555;GO:0071704;GO:0071840;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05920	GO:0006139;GO:0006220;GO:0006221;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009117;GO:0009165;GO:0009262;GO:0009987;GO:0016310;GO:0018130;GO:0019438;GO:0019637;GO:0034641;GO:0034654;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0046483;GO:0055086;GO:0071704;GO:0072527;GO:0072528;GO:0090407;GO:1901135;GO:1901137;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05925	GO:0006139;GO:0006259;GO:0006260;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS05935	GO:0006793;GO:0006796;GO:0006810;GO:0008150;GO:0008152;GO:0008643;GO:0009401;GO:0009987;GO:0016310;GO:0034219;GO:0044237;GO:0051179;GO:0051234;GO:0055085;GO:0071702;GO:0098657;GO:0098704;GO:0098739
SL1344_RS05955	GO:0000270;GO:0006022;GO:0006023;GO:0006024;GO:0006807;GO:0008150;GO:0008152;GO:0008360;GO:0009058;GO:0009059;GO:0009252;GO:0022603;GO:0022604;GO:0030203;GO:0043170;GO:0044038;GO:0050789;GO:0050793;GO:0065007;GO:0065008;GO:0071704;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05960	GO:0006066;GO:0006725;GO:0006766;GO:0006767;GO:0006772;GO:0006790;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009110;GO:0009987;GO:0016310;GO:0018130;GO:0019438;GO:0019637;GO:0034308;GO:0034641;GO:0042364;GO:0042723;GO:0042724;GO:0044237;GO:0044249;GO:0044271;GO:0044272;GO:0044281;GO:0044283;GO:0046483;GO:0071704;GO:0072527;GO:0072528;GO:0090407;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576;GO:1901615
SL1344_RS05965	GO:0000270;GO:0005975;GO:0006022;GO:0006023;GO:0006024;GO:0006807;GO:0007049;GO:0008150;GO:0008152;GO:0008360;GO:0009058;GO:0009059;GO:0009252;GO:0009987;GO:0016043;GO:0022603;GO:0022604;GO:0030203;GO:0043170;GO:0044038;GO:0044238;GO:0045229;GO:0050789;GO:0050793;GO:0051301;GO:0065007;GO:0065008;GO:0071554;GO:0071555;GO:0071704;GO:0071840;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576
SL1344_RS05995	GO:0000270;GO:0006022;GO:0006023;GO:0006024;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009252;GO:0030203;GO:0043170;GO:0044038;GO:0071704;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576
SL1344_RS06000	GO:0006355;GO:0006996;GO:0008150;GO:0009889;GO:0009987;GO:0010468;GO:0010556;GO:0016043;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0051276;GO:0060255;GO:0065007;GO:0071840;GO:0080090;GO:2001141
SL1344_RS06005	GO:0006810;GO:0008104;GO:0008150;GO:0009987;GO:0015031;GO:0033036;GO:0045184;GO:0051179;GO:0051234;GO:0051641;GO:0070727;GO:0071702;GO:0071705
SL1344_RS06010	GO:0008104;GO:0008150;GO:0009987;GO:0033036;GO:0051179;GO:0051641;GO:0051668;GO:0070727;GO:0072657
SL1344_RS06015	GO:0006810;GO:0008104;GO:0008150;GO:0009987;GO:0015031;GO:0033036;GO:0045184;GO:0051179;GO:0051234;GO:0051641;GO:0051668;GO:0070727;GO:0071702;GO:0071705;GO:0072657
SL1344_RS06020	GO:0000270;GO:0006022;GO:0006040;GO:0006807;GO:0008150;GO:0008152;GO:0030203;GO:0043170;GO:0071704;GO:1901135;GO:1901564
SL1344_RS06025	GO:0006807;GO:0008150;GO:0008152;GO:0019538;GO:0036211;GO:0043170;GO:0043412;GO:0044238;GO:0071704;GO:1901564
SL1344_RS06030	GO:0006810;GO:0008150;GO:0051179;GO:0051234;GO:0071702;GO:0071705
SL1344_RS06035	GO:0006810;GO:0008150;GO:0009987;GO:0051179;GO:0051234;GO:0055085
SL1344_RS06045	GO:0006810;GO:0008150;GO:0009987;GO:0051179;GO:0051234;GO:0055085
SL1344_RS06055	GO:0006508;GO:0006518;GO:0006807;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0019538;GO:0043170;GO:0043603;GO:0044237;GO:0044238;GO:0044248;GO:0071704;GO:1901564;GO:1901565;GO:1901575
SL1344_RS06060	GO:0006139;GO:0006259;GO:0006310;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS06085	GO:0006139;GO:0006163;GO:0006164;GO:0006188;GO:0006189;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009117;GO:0009123;GO:0009124;GO:0009126;GO:0009127;GO:0009150;GO:0009152;GO:0009156;GO:0009161;GO:0009165;GO:0009167;GO:0009168;GO:0009259;GO:0009260;GO:0009987;GO:0018130;GO:0019438;GO:0019637;GO:0019693;GO:0034641;GO:0034654;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0046040;GO:0046390;GO:0046483;GO:0055086;GO:0071704;GO:0072521;GO:0072522;GO:0090407;GO:1901135;GO:1901137;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
SL1344_RS06095	GO:0006139;GO:0006396;GO:0006399;GO:0006400;GO:0006725;GO:0006807;GO:0008033;GO:0008150;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0032259;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS06110	GO:0001522;GO:0006139;GO:0006396;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS06115	GO:0005975;GO:0006081;GO:0006082;GO:0006099;GO:0008150;GO:0008152;GO:0009987;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044281;GO:0071704
SL1344_RS06220	GO:0006091;GO:0008150;GO:0008152;GO:0009987;GO:0022900;GO:0022904;GO:0044237
SL1344_RS06230	GO:0006810;GO:0008150;GO:0009987;GO:0051179;GO:0051234;GO:0055085
SL1344_RS06235	GO:0006810;GO:0008150;GO:0009987;GO:0051179;GO:0051234;GO:0055085
SL1344_RS06240	GO:0006810;GO:0008150;GO:0009987;GO:0051179;GO:0051234;GO:0055085
SL1344_RS06255	GO:0006810;GO:0008150;GO:0009987;GO:0051179;GO:0051234;GO:0055085
SL1344_RS06275	GO:0008150;GO:0042221;GO:0046677;GO:0050896
SL1344_RS06280	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS06290	GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009628;GO:0009987;GO:0016310;GO:0044237;GO:0050896;GO:0051716
SL1344_RS06300	GO:0006082;GO:0008150;GO:0008152;GO:0009987;GO:0019752;GO:0043436;GO:0043648;GO:0044237;GO:0044281;GO:0046417;GO:0071704
SL1344_RS06305	GO:0006810;GO:0006865;GO:0008150;GO:0015711;GO:0015849;GO:0046942;GO:0051179;GO:0051234;GO:0071702;GO:0071705
SL1344_RS06385	GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009987;GO:0016310;GO:0044237
SL1344_RS06405	GO:0005975;GO:0008150;GO:0008152;GO:0044238;GO:0071704
SL1344_RS06410	GO:0005975;GO:0005996;GO:0006006;GO:0008150;GO:0008152;GO:0019318;GO:0044238;GO:0044281;GO:0071704
SL1344_RS06430	GO:0006082;GO:0006520;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044281;GO:0071704;GO:1901564
SL1344_RS06435	GO:0006508;GO:0006518;GO:0006807;GO:0008150;GO:0008152;GO:0019538;GO:0043170;GO:0043603;GO:0044238;GO:0051604;GO:0071704;GO:1901564
SL1344_RS06445	GO:0006082;GO:0006520;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009069;GO:0009070;GO:0009987;GO:0016053;GO:0016310;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS06450	GO:0006139;GO:0006259;GO:0006725;GO:0006807;GO:0006996;GO:0008150;GO:0008152;GO:0009987;GO:0016043;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0051276;GO:0071704;GO:0071840;GO:0090304;GO:1901360
SL1344_RS06455	GO:0006082;GO:0006520;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044281;GO:0071704;GO:1901564
